Player_ID,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
58,13,74,768,2330749,2330751,1222259,25,15,1020,0,0,-1
58,14,45,813,8973203,8973203,1842668,90,15,1013,1,0,6
58,15,67,880,1383094,1383094,1404305,15,15,1013,0,0,4
58,16,49,929,4879235,4879235,1460455,45,6,1012,1,0,5
58,17,50,979,7162317,7162317,2162926,70,6,1012,0,0,17
58,18,57,1036,4275530,4275530,2224374,40,6,1014,0,0,9
58,19,68,1104,5370423,5370423,2401883,50,1,1015,3,0,12
58,20,63,1167,4478984,4478984,2464688,45,1,1016,0,0,2
48,1,68,68,1746835,1746837,1746835,25,0,1000,0,0,6
48,2,81,149,2234292,2234293,1164230,25,15,1001,1,0,4
48,3,85,234,745230,745231,537337,10,10,1005,1,0,4
48,4,54,288,4158330,4158333,577707,45,10,1006,0,0,3
48,5,75,363,1046002,1046002,313998,15,8,1009,2,0,4
48,6,43,406,6598469,6598470,656146,65,0,1007,0,0,3
48,7,61,467,1246173,1246174,309959,15,6,1013,1,0,7
48,8,26,493,8921365,8921366,710979,90,8,1015,1,0,1
48,9,60,549,3639735,3639736,941919,35,0,1019,2,4,10
48,10,70,615,67909,67909,383217,1,6,1019,2,4,12
48,11,65,680,1414869,1414869,298303,15,6,1025,0,0,8
48,12,58,738,3050030,3050030,322670,30,24,1027,2,0,13
48,13,82,820,1206720,1206720,237320,15,28,1028,1,0,2
48,14,69,889,2605581,2605582,214159,25,0,1028,1,0,2
48,15,72,961,726998,726998,111780,10,0,1031,0,0,0
48,16,64,1025,947951,947951,70318,10,2,1034,2,0,19
48,17,98,1123,302797,302797,33737,5,3,1041,1,0,4
48,18,74,1197,535914,535914,22439,5,16,1046,1,0,4
48,19,75,1272,3491059,3491059,29315,35,4,1050,1,0,3
48,20,72,1340,2449465,2449466,29686,25,2,1050,2,4,3
53,1,76,76,608263,608265,608263,10,0,1000,0,0,2
53,2,90,166,887777,887778,164900,10,0,1002,0,0,4
53,3,69,235,4277560,4277560,481113,45,20,1006,1,0,4
53,4,60,295,2422166,2422167,320006,25,20,1007,0,0,3
53,5,76,367,928930,928930,229713,10,0,1008,3,4,0
53,6,48,411,5565697,5565697,503532,55,4,1015,2,4,2
53,7,65,476,717451,717451,169437,10,4,1019,0,0,4
53,8,25,497,9261593,9261593,596177,90,29,1021,3,4,0
53,9,56,545,5036288,5036288,1121647,50,0,1024,3,8,2
53,10,49,586,2101195,2101195,1254785,20,0,1024,3,8,1
53,11,93,675,22664,22664,379860,1,53,1026,2,4,4
53,12,80,747,275211,275211,219928,5,7,1026,3,8,22
53,13,100,847,73893,73893,69382,1,18,1030,1,0,2
53,14,57,900,6022563,6022565,134360,60,1,1037,2,4,6
53,15,76,976,389940,389941,55567,5,1,1041,0,0,0
53,16,55,1031,2900001,2900001,53284,30,0,1045,2,0,4
53,17,86,1113,1409654,1409654,55130,15,1,1043,2,4,5
53,18,59,1168,3879772,3879774,86458,40,3,1045,2,4,1
53,19,92,1260,522186,522186,51656,5,0,1047,1,0,11
53,20,65,1321,4140031,4140031,69176,40,0,1052,2,4,13
64,1,84,84,152756,152756,152756,5,0,1000,0,0,7
64,2,47,131,8672842,8672842,3703664,95,0,1002,0,0,1
64,3,70,201,4083566,4083566,3463704,45,6,1002,2,0,1
64,4,23,224,10068255,10068255,5871216,100,6,1003,0,0,3
64,5,60,284,4415779,4415780,5629423,45,6,1001,0,0,1
64,6,56,340,3564419,3564419,5275565,35,0,998,0,0,3
64,7,39,379,7370408,7370408,5708175,75,0,1004,0,0,1
64,8,34,413,6111259,6111261,5825696,60,13,1003,1,0,1
64,9,65,478,2236489,2236489,5166870,25,0,1004,3,0,4
64,10,44,522,3496287,3496287,4838214,35,12,1005,2,0,6
64,11,63,585,1738965,1738965,4025364,20,12,1009,0,0,14
64,12,72,657,734293,734293,2923777,10,12,1008,0,0,14
64,13,77,734,1907882,1907882,2424525,20,12,1010,1,0,3
64,14,70,804,2422810,2422810,2158597,25,4,1009,2,0,2
64,15,44,848,7354913,7354913,2468994,70,40,1010,1,0,4
64,16,56,904,2608434,2608434,2261717,25,4,1011,2,0,11
64,17,72,976,3558855,3558855,2256410,35,4,1014,0,0,11
64,18,52,1028,5836671,5836672,2465305,55,2,1015,2,0,6
64,19,70,1098,4778201,4778202,2574887,45,6,1017,1,0,14
64,20,55,1153,7075006,7075007,2860397,65,6,1018,1,0,4
92,1,63,63,2859831,2859832,2859831,35,0,1000,0,0,2
92,2,81,140,2309974,2309975,2407503,25,14,1001,2,4,5
92,3,67,207,4687718,4687718,2819955,50,14,1002,0,0,1
92,4,65,272,1356668,1356668,1599489,15,14,1002,0,0,2
92,5,48,320,8202017,8202017,2790151,80,9,1003,1,0,1
92,6,41,361,7285204,7285204,3709542,75,6,1005,3,0,2
92,7,60,421,1401783,1401783,2644879,15,5,1009,1,0,1
92,8,35,456,5723689,5723691,2850811,55,9,1008,1,0,0
92,9,59,515,3721024,3721025,2772702,40,4,1007,0,0,5
92,10,61,576,339664,339664,1681696,5,4,1013,0,0,17
92,11,60,636,2314725,2314725,1445753,25,4,1016,0,0,3
92,12,55,691,3594112,3594113,1468132,35,4,1014,0,0,2
92,13,102,793,52297,52297,614985,1,37,1018,3,0,5
92,14,71,864,2170830,2170830,524474,25,20,1021,1,0,0
92,15,39,903,8679952,8679952,830406,80,18,1026,2,0,2
92,16,42,945,7411371,7411371,1047647,70,9,1028,1,0,8
92,17,92,1037,672932,672932,736072,10,9,1030,0,0,18
92,18,63,1100,2713003,2713004,722064,25,41,1029,2,0,3
92,19,100,1200,122499,122499,412004,5,6,1031,1,0,10
92,20,66,1266,3683116,3683116,420076,35,6,1037,0,0,1
61,1,80,80,321537,321538,321537,5,0,1000,0,0,9
61,2,62,142,6465715,6465716,1977912,70,0,1001,0,0,11
61,3,77,219,2278750,2278752,1588565,25,0,1002,2,0,11
61,4,47,266,6377556,6377559,2122037,65,0,1005,0,0,1
61,5,53,319,6811130,6811132,2873770,70,9,1004,1,0,10
61,6,48,367,5518741,5518743,3182722,55,3,1008,1,0,-1
61,7,68,435,481246,481247,1620510,5,3,1005,0,0,7
61,8,54,489,758088,758089,857150,10,5,1006,1,0,7
61,9,67,556,1723140,1723141,688106,20,7,1004,2,0,1
61,10,68,624,100817,100817,236465,1,7,1006,1,0,2
61,11,65,689,1490622,1490623,191320,15,4,1007,1,0,12
61,12,76,765,478214,478215,87495,5,8,1010,2,0,6
61,13,83,848,1036086,1036086,63535,10,8,1012,0,0,1
61,14,66,914,3398113,3398115,66865,35,0,1015,2,0,6
61,15,76,990,389940,389942,25299,5,0,1016,0,0,0
61,16,51,1041,3959333,3959334,30370,40,0,1018,0,0,4
